Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,percent_change
300,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"33,494","33,627",-0.40%
301,WP,NV,EKO,Elko,Elko Regional,P,N,"33,310","23,543",41.49%
302,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,"32,714","32,846",-0.40%
303,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"32,389","36,148",-10.40%
304,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"31,832","32,139",-0.96%
305,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"31,284","31,655",-1.17%
306,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"31,181","36,516",-14.61%
307,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,"30,795","17,296",78.05%
308,AL,AK,DUT,Unalaska,Unalaska,P,N,"30,735","30,048",2.29%
309,NM,UT,PVU,Provo,Provo Municipal,P,N,"29,755","14,858",100.26%
310,WP,CA,RDD,Redding,Redding Municipal,P,N,"29,175","38,290",-23.81%
311,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"28,673","28,165",1.80%
312,NM,WY,COD,Cody,Yellowstone Regional,P,N,"28,551","28,019",1.90%
313,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,"28,270","26,219",7.82%
314,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"28,080","28,698",-2.15%
315,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,"27,495","26,201",4.94%
316,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,"27,168","28,137",-3.44%
318,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"26,059","38,533",-32.37%
319,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,"25,974","24,508",5.98%
320,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"25,545","23,024",10.95%
321,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,"24,864","22,708",9.49%
322,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"24,822","24,503",1.30%
323,CE,MO,JLN,Joplin,Joplin Regional,P,N,"24,489","27,379",-10.56%
325,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,P,N,"23,729","19,001",24.88%
326,WP,AZ,PGA,Page,Page Municipal,P,N,"23,462","23,938",-1.99%
327,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,"23,078","34,434",-32.98%
328,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"22,907","19,097",19.95%
329,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"22,374","23,910",-6.42%
331,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"22,214","21,566",3.00%
332,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,"21,309","16,852",26.45%
333,AL,AK,LHD,Anchorage,Lake Hood,P,N,"21,033","23,497",-10.49%
334,NM,MT,BTM,Butte,Bert Mooney,P,N,"20,895","24,806",-15.77%
335,SO,KY,PAH,Paducah,Barkley Regional,P,N,"20,734","17,978",15.33%
336,AL,AK,MRI,Anchorage,Merrill Field,P,N,"20,163","23,344",-13.63%
337,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"19,824","18,717",5.91%
338,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"19,522","22,297",-12.45%
339,WP,CA,CIC,Chico,Chico Municipal,P,N,"19,269","20,881",-7.72%
340,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,"18,901","20,353",-7.13%
341,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"18,800","18,318",2.63%
342,SW,TX,GGG,Longview,East Texas Regional,P,N,"18,787","21,112",-11.01%
344,CE,KS,GCK,Garden City,Garden City Regional,P,N,"18,375","11,690",57.19%
345,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"18,283","22,066",-17.14%
346,GL,MI,MKG,Muskegon,Muskegon County,P,N,"17,816","14,101",26.35%
347,SW,NM,HOB,Hobbs,Lea County Regional,P,N,"17,111","7,346",132.93%
349,EA,NY,ART,Watertown,Watertown International,P,N,"16,988","4,449",281.84%
351,SW,NM,FMN,Farmington,Four Corners Regional,P,N,"16,337","16,322",0.09%
352,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"16,087","16,147",-0.37%
353,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"16,061","17,731",-9.42%
354,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,"15,881","8,690",82.75%
355,NE,ME,RKD,Rockland,Knox County Regional,P,N,"15,720","16,680",-5.76%
356,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"15,630","17,574",-11.06%
357,GL,MN,INL,International Falls,Falls International,P,N,"15,240","15,157",0.55%
358,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,"15,237","15,856",-3.90%
359,AL,AK,ANI,Aniak,Aniak,P,N,"15,220","16,217",-6.15%
361,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,"15,179","12,033",26.14%
362,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,"15,010","25,112",-40.23%
364,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,"14,741","18,683",-21.10%
365,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,"14,563","10,862",34.07%
366,SO,MS,MEI,Meridian,Key Field,P,N,"14,432","18,008",-19.86%
368,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,P,N,"13,857","16,095",-13.90%
371,GL,MI,ESC,Escanaba,Delta County,P,N,"13,480","13,478",0.01%
372,WP,MP,GRO,Rota Island,Benjamin Taisacan Mangiona International,P,N,"13,206","20,961",-37.00%
373,NM,WY,RIW,Riverton,Riverton Regional,P,N,"13,189","14,299",-7.76%
375,AL,AK,UNK,Unalakleet,Unalakleet,P,N,"13,070","12,332",5.98%
376,GL,MI,APN,Alpena,Alpena County Regional,P,N,"13,011","12,320",5.61%
377,NM,WY,SHR,Sheridan,Sheridan County,P,N,"12,889","13,324",-3.26%
378,AL,AK,KSM,St Mary's,St Mary's,P,N,"12,711","12,415",2.38%
379,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,"12,547","14,887",-15.72%
380,CE,NE,EAR,Kearney,Kearney Regional,P,N,"12,480","11,019",13.26%
381,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,"12,412","14,264",-12.98%
382,AL,AK,MBA,Manokotak,Manokotak,P,N,"12,363","11,828",4.52%
383,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,"12,256","11,152",9.90%
385,GL,MN,HIB,Hibbing,Range Regional,P,N,"11,921","12,272",-2.86%
386,NM,MT,SDY,Sidney,Sidney-Richland Municipal,P,N,"11,858","5,557",113.39%
388,GL,SD,PIR,Pierre,Pierre Regional,P,N,"11,685","14,802",-21.06%
389,SW,TX,DRT,Del Rio,Del Rio International,P,N,"11,632","8,438",37.85%
390,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,"11,580","10,967",5.59%
391,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"11,555","11,283",2.41%
392,GL,IN,GYY,Gary,Gary/Chicago International,P,N,"11,443","1,420",705.85%
393,AL,AK,WRG,Wrangell,Wrangell,P,N,"11,434","11,674",-2.06%
394,GL,IL,MWA,Marion,Williamson County Regional,P,N,"11,411","10,558",8.08%
395,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,P,N,"11,210","10,962",2.26%
396,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,"11,119","26,764",-58.46%
397,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,"11,097","10,893",1.87%
398,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,"10,849","17,281",-37.22%
399,NE,RI,BID,Block Island,Block Island State,P,N,"10,841","10,164",6.66%
403,CE,KS,LBL,Liberal,Liberal Mid-America Regional,P,N,"10,487","8,007",30.97%
404,CE,KS,HYS,Hays,Hays Regional,P,N,"10,381","11,397",-8.91%
405,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B. Heilig Field,P,N,"10,356","9,912",4.48%
406,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L. Bill Hart Field,P,N,"10,239","10,674",-4.08%
407,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,P,N,"10,207","5,618",81.68%
408,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,"10,203","16,706",-38.93%
409,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,"10,191","9,106",11.92%
410,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,"10,165","9,083",11.91%
411,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"10,153","12,012",-15.48%
412,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,100","10,517",-3.97%
413,AL,AK,HNS,Haines,Haines,P,N,"10,093","8,618",17.12%
414,NE,RI,WST,Westerly,Westerly State,P,N,"10,067","9,203",9.39%
415,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,"10,006","12,510",-20.02%
417,AL,AK,ENM,Emmonak,Emmonak,CS,None,"9,854","9,174",7.41%
418,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,"9,812","22,470",-56.33%
419,AL,AK,HNH,Hoonah,Hoonah,CS,None,"9,564","10,815",-11.57%
420,AL,AK,GST,Gustavus,Gustavus,CS,None,"9,509","11,537",-17.58%
422,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"9,463","9,395",0.72%
423,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,CS,None,"9,455","8,979",5.30%
425,GL,MI,IMT,Iron Mountain,Ford,CS,None,"8,755","11,324",-22.69%
429,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"8,292","7,551",9.81%
430,SO,MS,TUP,Tupelo,Tupelo Regional,CS,None,"8,191","12,615",-35.07%
432,NM,WY,LAR,Laramie,Laramie Regional,CS,None,"8,131","8,493",-4.26%
433,NM,UT,CNY,Moab,Canyonlands Field,CS,None,"7,955","9,181",-13.35%
434,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"7,948","9,444",-15.84%
435,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St. Robert Regional Forney Field,CS,None,"7,894","6,978",13.13%
436,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"7,887","7,020",12.35%
437,NM,CO,TEX,Telluride,Telluride Regional,CS,None,"7,828","11,017",-28.95%
438,GL,IL,DEC,Decatur,Decatur,CS,None,"7,753","7,808",-0.70%
439,EA,NY,FRG,North Babylon,Republic,CS,None,"7,752","8,638",-10.26%
440,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"7,548","6,989",8.00%
441,AL,AK,SGY,Skagway,Skagway,CS,None,"7,532","8,244",-8.64%
442,NM,UT,VEL,Vernal,Vernal Regional,CS,None,"7,370","5,645",30.56%
445,AL,AK,ILI,Iliamna,Iliamna,CS,None,"7,036","7,396",-4.87%
446,WP,CA,IYK,Inyokern,Inyokern,CS,None,"7,024","8,711",-19.37%
447,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,"6,986","7,956",-12.19%
448,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,"6,959","7,104",-2.04%
449,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"6,583","6,392",2.99%
450,GL,OH,LCK,Columbus,Rickenbacker International,CS,None,"6,513","7,597",-14.27%
451,EA,NJ,TTN,Trenton,Trenton Mercer,CS,None,"6,459","3,414",89.19%
452,GL,SD,ATY,Watertown,Watertown Regional,CS,None,"6,254","8,984",-30.39%
453,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,"6,232","5,940",4.92%
454,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,"6,155","4,501",36.75%
457,CE,IA,MCW,Mason City,Mason City Municipal,CS,None,"6,029","11,594",-48.00%
458,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,"6,018","5,770",4.30%
459,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,"5,916","5,997",-1.35%
460,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,"5,856","4,961",18.04%
461,NM,WA,CLM,Port Angeles,William R Fairchild International,CS,None,"5,853","8,242",-28.99%
462,EA,PA,LNS,Lititz,Lancaster,CS,None,"5,779","7,575",-23.71%
465,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,"5,744","5,100",12.63%
466,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,"5,625","10,866",-48.23%
467,SW,TX,BPT,Beaumont,Jack Brooks Regional,CS,None,"5,571","13,670",-59.25%
468,AL,AK,VAK,Chevak,Chevak,CS,None,"5,559","5,578",-0.34%
469,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"5,527","5,780",-4.38%
470,WP,CA,IPL,Imperial,Imperial County,CS,None,"5,491","6,136",-10.51%
471,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"5,368","6,039",-11.11%
472,GL,MI,SJX,Beaver Island,Beaver Island,CS,None,"5,368",0,0.00%
473,SW,AR,HRO,Harrison,Boone County,CS,None,"5,347","2,771",92.96%
474,SO,MS,GLH,Greenville,Mid Delta Regional,CS,None,"5,181","7,417",-30.15%
475,WP,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,"5,152","5,159",-0.14%
476,AL,AK,WLK,Selawik,Selawik,CS,None,"5,135","4,922",4.33%
477,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,"5,074","5,986",-15.24%
478,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,"5,066","4,952",2.30%
479,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,None,"5,033","3,589",40.23%
480,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,"4,965","5,323",-6.73%
481,EA,NY,MSS,Massena,Massena International-Richards Field,CS,None,"4,964","4,396",12.92%
482,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,"4,804","4,674",2.78%
483,NE,ME,AUG,Augusta,Augusta State,CS,None,"4,791","5,611",-14.61%
484,WP,CA,MER,Atwater,Castle,CS,None,"4,790",0,0.00%
486,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"4,730",989,378.26%
487,AL,AK,WTK,Noatak,Noatak,CS,None,"4,721","4,549",3.78%
488,AL,AK,MCG,McGrath,McGrath,CS,None,"4,671","5,519",-15.37%
489,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,"4,614","5,299",-12.93%
490,SW,TX,VCT,Victoria,Victoria Regional,CS,None,"4,597","5,200",-11.60%
491,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,"4,588","4,065",12.87%
492,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,"4,524","4,338",4.29%
493,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"4,509",340,1226.18%
495,AL,AK,CFK,Chefornak,Chefornak,CS,None,"4,455","4,087",9.00%
496,AL,AK,PHO,Point Hope,Point Hope,CS,None,"4,399","4,484",-1.90%
497,AL,AK,SOV,Seldovia,Seldovia,CS,None,"4,294","4,538",-5.38%
498,NM,UT,OGD,Ogden,Ogden-Hinckley,CS,None,"4,290",121,3445.45%
499,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,"4,160","7,812",-46.75%
500,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,"4,021","4,510",-10.84%
501,AL,AK,SDP,Sand Point,Sand Point,CS,None,"3,984","4,843",-17.74%
502,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,"3,927","3,657",7.38%
503,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,"3,852","3,996",-3.60%
504,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,"3,798","3,917",-3.04%
506,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,"3,756","3,378",11.19%
507,AL,AK,2A9,Kotlik,Kotlik,CS,None,"3,740","4,035",-7.31%
508,WP,CA,MCE,Merced,Merced Regional//Macready Field,CS,None,"3,724","3,181",17.07%
509,NM,WA,ORS,Eastsound,Orcas Island,CS,None,"3,703","3,410",8.59%
510,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,"3,683","3,267",12.73%
511,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,"3,662","3,579",2.32%
512,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,"3,610","3,585",0.70%
513,GL,ND,JMS,Jamestown,Jamestown Regional,CS,None,"3,544","5,355",-33.82%
514,AL,AK,EEK,Eek,Eek,CS,None,"3,542","3,618",-2.10%
515,AL,AK,AWI,Wainwright,Wainwright,CS,None,"3,531","3,638",-2.94%
516,CE,KS,SLN,Salina,Salina Regional,CS,None,"3,526","2,857",23.42%
517,AL,AK,SVA,Savoonga,Savoonga,CS,None,"3,525","4,083",-13.67%
518,AL,AK,BVK,Buckland,Buckland,CS,None,"3,509","3,338",5.12%
519,AL,AK,KLG,Kalskag,Kalskag,CS,None,"3,506","3,538",-0.90%
520,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,"3,505","3,482",0.66%
521,AL,AK,GAM,Gambell,Gambell,CS,None,"3,483","3,429",1.57%
522,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,"3,408","3,947",-13.66%
523,WP,CA,VIS,Visalia,Visalia Municipal,CS,None,"3,354","2,980",12.55%
524,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,"3,340","3,625",-7.86%
525,AL,AK,KVL,Kivalina,Kivalina,CS,None,"3,337","3,274",1.92%
527,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,"3,256","4,107",-20.72%
528,AL,AK,CGA,Craig,Craig,CS,None,"3,246","3,470",-6.46%
529,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,"3,186",520,512.69%
530,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,"3,173","3,483",-8.90%
531,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,"3,172","3,641",-12.88%
532,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"3,171","2,989",6.09%
533,AL,AK,Z13,Akiachak,Akiachak,CS,None,"3,135","3,499",-10.40%
535,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,None,"3,059","1,803",69.66%
538,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,"3,010","3,239",-7.07%
540,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,"2,987","1,479",101.96%
541,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,"2,987","2,830",5.55%
542,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,"2,976","5,599",-46.85%
543,AL,AK,HLA,Huslia,Huslia,CS,None,"2,948","3,232",-8.79%
544,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,"2,897","3,166",-8.50%
546,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,"2,879","3,376",-14.72%
547,GL,MI,PTK,Pontiac,Oakland County International,CS,None,"2,876","1,437",100.14%
548,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,"2,857","2,923",-2.26%
549,GL,MI,MBL,Manistee,Manistee County-Blacker,CS,None,"2,822","11,220",-74.85%
550,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,"2,819","2,418",16.58%
551,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,"2,799","2,621",6.79%
552,NM,WY,WRL,Worland,Worland Municipal,CS,None,"2,795","3,070",-8.96%
553,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,"2,776","2,707",2.55%
554,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,"2,770","2,916",-5.01%
556,AL,AK,KEB,English Bay,Nanwalek,CS,None,"2,705","2,696",0.33%
558,AL,AK,EWU,Newtok,Newtok,CS,None,"2,652","2,352",12.76%
560,AL,AK,WBB,Stebbins,Stebbins,CS,None,"2,621","2,880",-8.99%
561,AL,AK,ELI,Elim,Elim,CS,None,"2,609","2,570",1.52%
562,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,"2,585","2,753",-6.10%
563,AL,AK,4K5,Ouzinkie,Ouzinkie,CS,None,"2,535","3,309",-23.39%
564,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,"2,534","2,966",-14.57%
565,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,"2,532","3,391",-25.33%
